mock_test_title,subject_name,question_text,option1,option2,option3,option4,correct_option,solution,marks,negative_marks
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 13 is correct?,It began in 1857 AD,It began in 1206 AD,It began in 1947 AD,It began in 1526 AD,4,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 14 is correct?,It began in 1206 AD,It began in 1857 AD,It began in 1526 AD,It began in 1947 AD,3,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 15 is correct?,It began in 1526 AD,It began in 1857 AD,It began in 1206 AD,It began in 1947 AD,1,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 16 is correct?,It began in 1206 AD,It began in 1526 AD,It began in 1857 AD,It began in 1947 AD,2,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 17 is correct?,It began in 1526 AD,It began in 1857 AD,It began in 1206 AD,It began in 1947 AD,1,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 18 is correct?,It began in 1526 AD,It began in 1857 AD,It began in 1947 AD,It began in 1206 AD,1,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 19 is correct?,It began in 1857 AD,It began in 1206 AD,It began in 1526 AD,It began in 1947 AD,3,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 20 is correct?,It began in 1526 AD,It began in 1947 AD,It began in 1857 AD,It began in 1206 AD,1,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 21 is correct?,It began in 1206 AD,It began in 1526 AD,It began in 1947 AD,It began in 1857 AD,2,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 22 is correct?,It began in 1526 AD,It began in 1857 AD,It began in 1206 AD,It began in 1947 AD,1,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 23 is correct?,It began in 1206 AD,It began in 1526 AD,It began in 1857 AD,It began in 1947 AD,2,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 24 is correct?,It began in 1857 AD,It began in 1947 AD,It began in 1206 AD,It began in 1526 AD,4,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 25 is correct?,It began in 1526 AD,It began in 1947 AD,It began in 1857 AD,It began in 1206 AD,1,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 1.",2,7,3,5,3,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 2.",2,5,3,7,3,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 3.",2,5,3,7,3,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 4.",3,5,2,7,1,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 5.",7,5,3,2,3,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 6.",7,5,2,3,4,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 7.",7,5,2,3,4,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 8.",5,2,3,7,3,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 9.",3,2,5,7,1,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 10.",3,5,7,2,1,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 11.",2,7,3,5,3,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 12.",2,7,3,5,3,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 13.",7,2,3,5,3,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 14.",7,3,2,5,2,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 15.",3,7,2,5,1,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 16.",3,7,5,2,1,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 17.",5,2,3,7,3,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 18.",7,2,5,3,4,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 19.",2,3,7,5,2,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 20.",2,5,3,7,3,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 21.",7,2,5,3,4,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 22.",2,5,7,3,4,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 23.",2,5,3,7,3,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 24.",2,7,5,3,4,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Quantitative Aptitude,"If 12x + 6 = 42, find x for question 25.",2,3,5,7,2,12x + 6 = 42 ⇒ 12x = 36 ⇒ x = 3.,2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 1)",26,28,30,32,2,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 2)",26,32,28,30,3,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 3)",28,32,30,26,1,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 4)",26,30,28,32,3,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 5)",30,32,26,28,4,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 6)",28,30,32,26,1,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 7)",26,28,30,32,2,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 8)",28,30,26,32,1,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 9)",30,26,32,28,4,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 10)",28,30,32,26,1,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 11)",32,26,30,28,4,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 12)",28,32,26,30,1,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 13)",32,28,30,26,2,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 14)",30,32,28,26,3,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 15)",30,28,32,26,2,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 16)",30,28,32,26,2,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 17)",30,32,26,28,4,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 18)",28,32,26,30,1,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 19)",32,30,26,28,4,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 20)",26,32,30,28,4,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 21)",30,26,32,28,4,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 22)",26,28,30,32,2,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 23)",30,26,28,32,3,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 24)",32,26,30,28,4,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,Reasoning,"Find the missing term in the series: 2, 6, 12, 20, ? (Question 25)",28,30,32,26,1,"Pattern: n² + n ⇒ 1²+1=2, 2²+2=6, 3²+3=12, 4²+4=20, 5²+5=30 ⇒ next = 30.",2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 1).,Give up,Hold,Protect,Retain,1,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 2).,Give up,Hold,Retain,Protect,1,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 3).,Give up,Retain,Hold,Protect,1,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 4).,Give up,Protect,Retain,Hold,1,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 5).,Retain,Give up,Protect,Hold,2,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 6).,Retain,Protect,Hold,Give up,4,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 7).,Hold,Give up,Retain,Protect,2,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 8).,Hold,Protect,Give up,Retain,3,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 9).,Hold,Retain,Protect,Give up,4,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 10).,Give up,Retain,Protect,Hold,1,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 11).,Retain,Give up,Protect,Hold,2,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 12).,Hold,Protect,Retain,Give up,4,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 13).,Protect,Retain,Give up,Hold,3,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 14).,Retain,Hold,Protect,Give up,4,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 15).,Protect,Hold,Retain,Give up,4,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 16).,Hold,Give up,Retain,Protect,2,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 17).,Protect,Give up,Hold,Retain,2,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 18).,Hold,Give up,Retain,Protect,2,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 19).,Retain,Hold,Protect,Give up,4,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 20).,Protect,Hold,Retain,Give up,4,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 21).,Retain,Give up,Hold,Protect,2,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 22).,Give up,Hold,Protect,Retain,1,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 23).,Retain,Hold,Give up,Protect,3,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 24).,Hold,Protect,Give up,Retain,3,'Abandon' means to give up or leave completely.,2,0.5
CGL Pre Mock 2,English Comprehension,Choose the correct synonym of the word 'Abandon' (Question 25).,Retain,Hold,Give up,Protect,3,'Abandon' means to give up or leave completely.,2,0.5
